subspecies;island;site_name;subject_group;image_name;subject_id;workflow_id;task;reducer;data.aggregation_version;blurry;presence_no;presence_yes;presence_absence_exp
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_163.jpg;47967975;14370;T0;question_reducer;4.0.0;0;14;6;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_164.jpg;47967978;14370;T0;question_reducer;4.0.0;2;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_165.jpg;47967979;14370;T0;question_reducer;4.0.0;7;13;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_166.jpg;47967981;14370;T0;question_reducer;4.0.0;6;13;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_167.jpg;47967983;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_168.jpg;47967985;14370;T0;question_reducer;4.0.0;6;14;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_169.jpg;47967988;14370;T0;question_reducer;4.0.0;2;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_170.jpg;47967990;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_171.jpg;47967992;14370;T0;question_reducer;4.0.0;3;16;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_172.jpg;47967994;14370;T0;question_reducer;4.0.0;4;12;4;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_173.jpg;47967996;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_174.jpg;47967998;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_175.jpg;47968000;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_178.jpg;47968002;14370;T0;question_reducer;4.0.0;2;16;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_179.jpg;47968004;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_180.jpg;47968007;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_182.jpg;47968009;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_183.jpg;47968011;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_184.jpg;47968013;14370;T0;question_reducer;4.0.0;4;10;6;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_185.jpg;47968015;14370;T0;question_reducer;4.0.0;6;14;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_186.jpg;47968017;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_187.jpg;47968019;14370;T0;question_reducer;4.0.0;1;16;3;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_188.jpg;47968021;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_190.jpg;47968025;14370;T0;question_reducer;4.0.0;0;16;4;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_191.jpg;47968027;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_192.jpg;47968029;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_193.jpg;47968031;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_194.jpg;47968033;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_195.jpg;47968035;14370;T0;question_reducer;4.0.0;1;16;3;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_198.jpg;47968036;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_199.jpg;47968038;14370;T0;question_reducer;4.0.0;5;14;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_200.jpg;47968040;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_202.jpg;47968042;14370;T0;question_reducer;4.0.0;5;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_203.jpg;47968044;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_204.jpg;47968046;14370;T0;question_reducer;4.0.0;1;17;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_205.jpg;47968048;14370;T0;question_reducer;4.0.0;0;18;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_206.jpg;47968050;14370;T0;question_reducer;4.0.0;6;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_207.jpg;47968052;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_208.jpg;47968054;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_209.jpg;47968056;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_210.jpg;47968058;14370;T0;question_reducer;4.0.0;1;0;19;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_211.jpg;47968060;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_212.jpg;47968062;14370;T0;question_reducer;4.0.0;0;21;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_213.jpg;47968064;14370;T0;question_reducer;4.0.0;2;16;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_214.jpg;47968067;14370;T0;question_reducer;4.0.0;1;17;2;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_215.jpg;47968068;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_218.jpg;47968071;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_219.jpg;47968073;14370;T0;question_reducer;4.0.0;6;14;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_220.jpg;47968075;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_226.jpg;47968077;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_227.jpg;47968079;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_228.jpg;47968081;14370;T0;question_reducer;4.0.0;3;16;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_229.jpg;47968083;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_230.jpg;47968085;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_231.jpg;47968087;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_232.jpg;47968089;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_233.jpg;47968091;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_234.jpg;47968093;14370;T0;question_reducer;4.0.0;0;17;3;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_238.jpg;47968095;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_239.jpg;47968097;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_240.jpg;47968099;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_247.jpg;47968101;14370;T0;question_reducer;4.0.0;7;13;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_248.jpg;47968103;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_249.jpg;47968105;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_250.jpg;47968107;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_258.jpg;47968109;14370;T0;question_reducer;4.0.0;3;7;10;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_259.jpg;47968111;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_260.jpg;47968113;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_279.jpg;47968118;14370;T0;question_reducer;4.0.0;5;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_280.jpg;47968120;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_299.jpg;47968122;14370;T0;question_reducer;4.0.0;0;1;19;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_300.jpg;47968124;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_320.jpg;47968126;14370;T0;question_reducer;4.0.0;2;16;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_340.jpg;47968128;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_360.jpg;47968129;14370;T0;question_reducer;4.0.0;6;13;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_73.jpg;47968131;14370;T0;question_reducer;4.0.0;3;15;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_74.jpg;47968133;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_75.jpg;47968136;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_76.jpg;47968138;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_77.jpg;47968140;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_78.jpg;47968142;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_79.jpg;47968143;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_80.jpg;47968145;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_91.jpg;47968147;14370;T0;question_reducer;4.0.0;4;16;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_92.jpg;47968149;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_93.jpg;47968150;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_94.jpg;47968152;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_95.jpg;47968154;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_96.jpg;47968156;14370;T0;question_reducer;4.0.0;1;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_97.jpg;47968158;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_98.jpg;47968160;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_99.jpg;47968162;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_100.jpg;47968164;14370;T0;question_reducer;4.0.0;4;0;16;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_101.jpg;47968166;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_102.jpg;47968168;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_103.jpg;47968170;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_104.jpg;47968172;14370;T0;question_reducer;4.0.0;2;16;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_105.jpg;47968173;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_106.jpg;47968175;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_107.jpg;47968177;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_108.jpg;47968179;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_109.jpg;47968181;14370;T0;question_reducer;4.0.0;0;13;7;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_110.jpg;47968182;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_111.jpg;47968184;14370;T0;question_reducer;4.0.0;4;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_112.jpg;47968186;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_113.jpg;47968188;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_114.jpg;47968190;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_115.jpg;47968192;14370;T0;question_reducer;4.0.0;3;14;3;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_121.jpg;47968193;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_122.jpg;47968195;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_123.jpg;47968197;14370;T0;question_reducer;4.0.0;1;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_124.jpg;47968199;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_125.jpg;47968201;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_126.jpg;47968204;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_127.jpg;47968206;14370;T0;question_reducer;4.0.0;3;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_128.jpg;47968208;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_129.jpg;47968211;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_130.jpg;47968212;14370;T0;question_reducer;4.0.0;4;16;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_131.jpg;47968214;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_132.jpg;47968216;14370;T0;question_reducer;4.0.0;1;17;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_139.jpg;47968218;14370;T0;question_reducer;4.0.0;0;3;17;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_141.jpg;47968220;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_142.jpg;47968222;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_143.jpg;47968224;14370;T0;question_reducer;4.0.0;3;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_144.jpg;47968226;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_145.jpg;47968228;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_146.jpg;47968230;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_147.jpg;47968232;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_148.jpg;47968234;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-extra_117.jpg;47968235;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-2_149.jpg;47968237;14370;T0;question_reducer;4.0.0;3;17;0;N
