subspecies;island;site_name;subject_group;image_name;subject_id;workflow_id;task;reducer;data.aggregation_version;presence_no;presence_yes;presence_absence_exp
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS03_75.jpg;72335634;20600;T0;question_reducer;4.0.0;14;8;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS04-1_136.jpg;72335681;20600;T0;question_reducer;4.0.0;4;16;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS04-1_149.jpg;72335688;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS05-1_167.jpg;72335867;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS05-2_98.jpg;72335930;20600;T0;question_reducer;4.0.0;3;20;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS06-1_130.jpg;72335960;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS06-1_157.jpg;72335987;20600;T0;question_reducer;4.0.0;23;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS06-1_167.jpg;72335995;20600;T0;question_reducer;4.0.0;20;1;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS06-2_160.jpg;72336110;20600;T0;question_reducer;4.0.0;5;16;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS06-2_212.jpg;72336132;20600;T0;question_reducer;4.0.0;3;18;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS06-2_235.jpg;72336142;20600;T0;question_reducer;4.0.0;0;22;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-1_238.jpg;72336297;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-1_301.jpg;72336349;20600;T0;question_reducer;4.0.0;1;20;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-1_317.jpg;72336360;20600;T0;question_reducer;4.0.0;20;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-1_322.jpg;72336365;20600;T0;question_reducer;4.0.0;10;11;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-1_376.jpg;72336404;20600;T0;question_reducer;4.0.0;4;17;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-2_171.jpg;72336460;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-2_260.jpg;72336532;20600;T0;question_reducer;4.0.0;7;14;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-2_293.jpg;72336542;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS07-2_59.jpg;72336566;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-1_224.jpg;72336687;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-1_289.jpg;72336742;20600;T0;question_reducer;4.0.0;1;20;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-1_351.jpg;72336780;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-2_230.jpg;72336869;20600;T0;question_reducer;4.0.0;19;3;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-2_311.jpg;72336927;20600;T0;question_reducer;4.0.0;13;8;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-2_354.jpg;72336966;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-2_38.jpg;72336992;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-2_390.jpg;72337004;20600;T0;question_reducer;4.0.0;3;19;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS08-2_469.jpg;72337084;20600;T0;question_reducer;4.0.0;1;21;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_06.jpg;72337166;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_112.jpg;72337178;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_119.jpg;72337185;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_122.jpg;72337188;20600;T0;question_reducer;4.0.0;1;21;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_21.jpg;72337194;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_24.jpg;72337197;20600;T0;question_reducer;4.0.0;17;3;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_46.jpg;72337208;20600;T0;question_reducer;4.0.0;20;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_48.jpg;72337210;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_65.jpg;72337227;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_67.jpg;72337229;20600;T0;question_reducer;4.0.0;16;4;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_70.jpg;72337232;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_72.jpg;72337234;20600;T0;question_reducer;4.0.0;2;19;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_75.jpg;72337237;20600;T0;question_reducer;4.0.0;4;18;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_80.jpg;72337242;20600;T0;question_reducer;4.0.0;7;14;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-1_89.jpg;72337251;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_102.jpg;72337264;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_105.jpg;72337267;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_111.jpg;72337273;20600;T0;question_reducer;4.0.0;8;13;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_112.jpg;72337274;20600;T0;question_reducer;4.0.0;20;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_118.jpg;72337280;20600;T0;question_reducer;4.0.0;5;16;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_37.jpg;72337295;20600;T0;question_reducer;4.0.0;4;19;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_39.jpg;72337297;20600;T0;question_reducer;4.0.0;2;19;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_51.jpg;72337309;20600;T0;question_reducer;4.0.0;14;7;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_52.jpg;72337310;20600;T0;question_reducer;4.0.0;14;7;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_59.jpg;72337317;20600;T0;question_reducer;4.0.0;0;22;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_70.jpg;72337328;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_72.jpg;72337330;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_94.jpg;72337352;20600;T0;question_reducer;4.0.0;1;21;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_95.jpg;72337353;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.1-2_98.jpg;72337356;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-1_19.jpg;72337372;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-1_21.jpg;72337374;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-1_24.jpg;72337377;20600;T0;question_reducer;4.0.0;9;11;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-1_36.jpg;72337389;20600;T0;question_reducer;4.0.0;0;22;Y
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-2_04.jpg;72337396;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-2_11.jpg;72337401;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-2_19.jpg;72337409;20600;T0;question_reducer;4.0.0;20;2;N
A. c. venustissimus;Espa–ola;South Coast B;South Coast B;ESCB-2.2-2_31.jpg;72337421;20600;T0;question_reducer;4.0.0;3;19;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_07.jpg;72337425;20600;T0;question_reducer;4.0.0;20;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_103.jpg;72337432;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_110.jpg;72337439;20600;T0;question_reducer;4.0.0;21;2;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_150.jpg;72337465;20600;T0;question_reducer;4.0.0;1;20;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_183.jpg;72337473;20600;T0;question_reducer;4.0.0;7;14;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_20.jpg;72337475;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_207.jpg;72337476;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_22.jpg;72337480;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_43.jpg;72337495;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_54.jpg;72337506;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_55.jpg;72337507;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_66.jpg;72337517;20600;T0;question_reducer;4.0.0;5;16;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_71.jpg;72337522;20600;T0;question_reducer;4.0.0;11;10;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_72.jpg;72337523;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-1_78.jpg;72337529;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_04.jpg;72337553;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_08.jpg;72337557;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_21.jpg;72337565;20600;T0;question_reducer;4.0.0;0;22;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_24.jpg;72337568;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_30.jpg;72337571;20600;T0;question_reducer;4.0.0;11;10;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_33.jpg;72337574;20600;T0;question_reducer;4.0.0;11;11;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_40.jpg;72337581;20600;T0;question_reducer;4.0.0;9;12;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_63.jpg;72337602;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-2_65.jpg;72337604;20600;T0;question_reducer;4.0.0;1;20;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_107.jpg;72337618;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_123.jpg;72337633;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_168.jpg;72337675;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_176.jpg;72337679;20600;T0;question_reducer;4.0.0;14;8;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_177.jpg;72337680;20600;T0;question_reducer;4.0.0;18;2;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_226.jpg;72337711;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_40.jpg;72337721;20600;T0;question_reducer;4.0.0;21;0;Y
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_48.jpg;72337729;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_49.jpg;72337730;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_57.jpg;72337738;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_77.jpg;72337757;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_82.jpg;72337762;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_94.jpg;72337774;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast F;South Coast F;ESCF01-3_97.jpg;72337777;20600;T0;question_reducer;4.0.0;22;1;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-1_28.jpg;72337802;20600;T0;question_reducer;4.0.0;1;21;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_122.jpg;72337813;20600;T0;question_reducer;4.0.0;4;17;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_128.jpg;72337819;20600;T0;question_reducer;4.0.0;2;19;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_152.jpg;72337826;20600;T0;question_reducer;4.0.0;7;14;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_180.jpg;72337834;20600;T0;question_reducer;4.0.0;8;13;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_181.jpg;72337835;20600;T0;question_reducer;4.0.0;14;7;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_215.jpg;72337847;20600;T0;question_reducer;4.0.0;18;2;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_216.jpg;72337848;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_248.jpg;72337854;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-2_370.jpg;72337871;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-3_185.jpg;72337926;20600;T0;question_reducer;4.0.0;2;19;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-3_293.jpg;72337933;20600;T0;question_reducer;4.0.0;4;19;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-3_365.jpg;72337937;20600;T0;question_reducer;4.0.0;8;13;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-3_37.jpg;72337938;20600;T0;question_reducer;4.0.0;3;18;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH01-3_71.jpg;72337953;20600;T0;question_reducer;4.0.0;18;3;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_112.jpg;72337968;20600;T0;question_reducer;4.0.0;0;20;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_141.jpg;72337980;20600;T0;question_reducer;4.0.0;0;23;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_15.jpg;72337989;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_233.jpg;72338030;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_235.jpg;72338032;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_241.jpg;72338038;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_243.jpg;72338040;20600;T0;question_reducer;4.0.0;6;14;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_246.jpg;72338043;20600;T0;question_reducer;4.0.0;7;15;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_296.jpg;72338081;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_318.jpg;72338100;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_350.jpg;72338126;20600;T0;question_reducer;4.0.0;0;21;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_382.jpg;72338147;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_386.jpg;72338150;20600;T0;question_reducer;4.0.0;18;3;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_417.jpg;72338164;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_439.jpg;72338173;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_472.jpg;72338188;20600;T0;question_reducer;4.0.0;9;12;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_533.jpg;72338202;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-1_534.jpg;72338203;20600;T0;question_reducer;4.0.0;6;16;Y
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-2_18.jpg;72338234;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-2_19.jpg;72338235;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-2_37.jpg;72338250;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;South Coast H;South Coast H;ESCH02-2_49.jpg;72338262;20600;T0;question_reducer;4.0.0;21;0;N
